code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
BVH,2025-11-03,15:11:03,HOSE,STOCK,50.8,54.3,47.25,51.4,54.3,50.9,54.3,52.946,51.4,54.3,50.9,54.3,52.946,877500.0,46460320000.0,0.0,0.0,3.5,3.5,6.8898
BVH,2025-10-31,15:10:03,HOSE,STOCK,50.6,54.1,47.1,51.3,52.4,50.7,50.8,51.326,51.3,52.4,50.7,50.8,51.326,737800.0,37868510000.0,0.0,0.0,0.2,0.2,0.3953
BVH,2025-10-30,15:10:05,HOSE,STOCK,50.2,53.7,46.7,50.2,50.8,50.1,50.6,50.423,50.2,50.8,50.1,50.6,50.423,219100.0,11047590000.0,0.0,0.0,0.4,0.4,0.7968
BVH,2025-10-29,15:10:03,HOSE,STOCK,49.9,53.3,46.45,50.0,50.9,49.85,50.2,50.373,50.0,50.9,49.85,50.2,50.373,344100.0,17333240000.0,0.0,0.0,0.3,0.3,0.6012
BVH,2025-10-28,15:10:05,HOSE,STOCK,49.8,53.2,46.35,49.8,49.95,49.3,49.9,49.639,49.8,49.95,49.3,49.9,49.639,164500.0,8165570000.0,0.0,0.0,0.1,0.1,0.2008
BVH,2025-10-27,15:10:02,HOSE,STOCK,48.75,52.1,45.35,48.75,50.6,48.75,49.8,49.701,48.75,50.6,48.75,49.8,49.701,271900.0,13513705000.0,0.0,0.0,1.05,1.05,2.1538
BVH,2025-10-24,15:10:04,HOSE,STOCK,49.4,52.8,45.95,49.4,49.5,48.25,48.75,48.699,49.4,49.5,48.25,48.75,48.699,307300.0,14965070000.0,0.0,0.0,-0.65,-0.65,-1.3158
BVH,2025-10-23,15:10:02,HOSE,STOCK,49.3,52.7,45.85,49.3,49.5,49.1,49.4,49.246,49.3,49.5,49.1,49.4,49.246,87900.0,4328725000.0,0.0,0.0,0.1,0.1,0.2028
BVH,2025-10-22,15:10:03,HOSE,STOCK,49.0,52.4,45.6,49.5,49.7,48.4,49.3,48.822,49.5,49.7,48.4,49.3,48.822,144300.0,7044980000.0,0.0,0.0,0.3,0.3,0.6122
BVH,2025-10-21,15:10:03,HOSE,STOCK,47.1,50.3,43.85,47.5,49.0,47.3,49.0,48.191,47.5,49.0,47.3,49.0,48.191,508400.0,24500435000.0,0.0,0.0,1.9,1.9,4.034
BVH,2025-10-20,15:10:03,HOSE,STOCK,50.5,54.0,47.0,50.4,50.7,47.1,47.1,48.926,50.4,50.7,47.1,47.1,48.926,635300.0,31082880000.0,0.0,0.0,-3.4,-3.4,-6.7327
BVH,2025-10-17,15:10:03,HOSE,STOCK,51.4,54.9,47.85,51.9,51.9,50.1,50.5,50.788,51.9,51.9,50.1,50.5,50.788,314400.0,15967850000.0,0.0,0.0,-0.9,-0.9,-1.751
BVH,2025-10-16,15:10:02,HOSE,STOCK,51.0,54.5,47.45,51.0,51.4,49.0,51.4,50.703,51.0,51.4,49.0,51.4,50.703,362900.0,18400185000.0,0.0,0.0,0.4,0.4,0.7843
BVH,2025-10-15,15:10:03,HOSE,STOCK,52.0,55.6,48.4,52.0,52.0,50.5,51.0,51.149,52.0,52.0,50.5,51.0,51.149,725100.0,37088080000.0,0.0,0.0,-1.0,-1.0,-1.9231
BVH,2025-10-14,15:10:03,HOSE,STOCK,52.8,56.4,49.15,53.1,53.6,51.7,52.0,52.244,53.1,53.6,51.7,52.0,52.244,817000.0,42683350000.0,0.0,0.0,-0.8,-0.8,-1.5152
BVH,2025-10-13,15:10:03,HOSE,STOCK,54.5,58.3,50.7,54.4,54.4,52.4,52.8,53.008,54.4,54.4,52.4,52.8,53.008,550400.0,29175580000.0,0.0,0.0,-1.7,-1.7,-3.1193
BVH,2025-10-10,15:10:03,HOSE,STOCK,55.1,58.9,51.3,55.2,55.2,54.0,54.5,54.463,55.2,55.2,54.0,54.5,54.463,396900.0,21616560000.0,0.0,0.0,-0.6,-0.6,-1.0889
BVH,2025-10-09,15:10:04,HOSE,STOCK,54.8,58.6,51.0,54.4,55.2,54.4,55.1,54.777,54.4,55.2,54.4,55.1,54.777,178600.0,9783090000.0,0.0,0.0,0.3,0.3,0.5474
BVH,2025-10-08,15:10:04,HOSE,STOCK,53.4,57.1,49.7,54.4,54.9,53.8,54.8,54.349,54.4,54.9,53.8,54.8,54.349,240900.0,13092780000.0,0.0,0.0,1.4,1.4,2.6217
BVH,2025-10-07,15:10:03,HOSE,STOCK,54.5,58.3,50.7,54.4,54.6,53.3,53.4,53.978,54.4,54.6,53.3,53.4,53.978,443700.0,23949960000.0,0.0,0.0,-1.1,-1.1,-2.0183
