code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
FPT,2025-11-03,15:11:03,HOSE,STOCK,103.9,111.1,96.7,103.8,106.3,103.5,105.0,105.544,103.8,106.3,103.5,105.0,105.544,20963600.0,2212582190000.0,4.0,386800.0,1.1,1.1,1.0587
FPT,2025-10-31,15:10:03,HOSE,STOCK,102.7,109.8,95.6,102.6,103.9,101.0,103.9,102.917,102.6,103.9,101.0,103.9,102.917,14827100.0,1525955420000.0,2447615.0,260069674000.0,1.2,1.2,1.1685
FPT,2025-10-30,15:10:05,HOSE,STOCK,101.7,108.8,94.6,102.1,103.5,101.6,102.7,102.696,102.1,103.5,101.6,102.7,102.696,9730600.0,999292540000.0,20004.0,2036378400.0,1.0,1.0,0.9833
FPT,2025-10-29,15:10:03,HOSE,STOCK,102.2,109.3,95.1,102.4,103.2,101.1,101.7,102.236,102.4,103.2,101.1,101.7,102.236,9302800.0,951080130000.0,20000.0,2024000000.0,-0.5,-0.5,-0.4892
FPT,2025-10-28,15:10:05,HOSE,STOCK,98.0,104.8,91.2,98.6,102.2,98.6,102.2,101.294,98.6,102.2,98.6,102.2,101.294,20912700.0,2118321990000.0,6370001.0,624561431200.0,4.2,4.2,4.2857
FPT,2025-10-27,15:10:02,HOSE,STOCK,97.7,104.5,90.9,99.0,99.7,96.3,98.0,98.71,99.0,99.7,96.3,98.0,98.71,12897800.0,1273141460000.0,0.0,0.0,0.3,0.3,0.3071
FPT,2025-10-24,15:10:04,HOSE,STOCK,95.0,101.6,88.4,95.0,97.7,94.7,97.7,96.879,95.0,97.7,94.7,97.7,96.879,13759100.0,1332973870000.0,1500000.0,146250000000.0,2.7,2.7,2.8421
FPT,2025-10-23,15:10:02,HOSE,STOCK,97.0,103.7,90.3,97.2,97.3,94.0,95.0,95.71,97.2,97.3,94.0,95.0,95.71,6647600.0,636243870000.0,2324300.0,213342753000.0,-2.0,-2.0,-2.0619
FPT,2025-10-22,15:10:03,HOSE,STOCK,93.0,99.5,86.5,95.2,99.0,95.0,97.0,96.805,95.2,99.0,95.0,97.0,96.805,18311100.0,1772599340000.0,988310.0,95158099550.0,4.0,4.0,4.3011
FPT,2025-10-21,15:10:03,HOSE,STOCK,87.0,93.0,81.0,89.0,93.0,88.5,93.0,91.354,89.0,93.0,88.5,93.0,91.354,19520200.0,1783240920000.0,2130700.0,187501485800.0,6.0,6.0,6.8966
FPT,2025-10-20,15:10:03,HOSE,STOCK,88.1,94.2,82.0,88.3,91.8,87.0,87.0,88.984,88.3,91.8,87.0,87.0,88.984,14580300.0,1297410070000.0,75000.0,6750000000.0,-1.1,-1.1,-1.2486
FPT,2025-10-17,15:10:03,HOSE,STOCK,89.8,96.0,83.6,90.1,91.5,88.1,88.1,89.694,90.1,91.5,88.1,88.1,89.694,8374400.0,751136260000.0,355000.0,34080000000.0,-1.7,-1.7,-1.8931
FPT,2025-10-16,15:10:02,HOSE,STOCK,89.6,95.8,83.4,89.8,91.5,89.6,89.8,90.198,89.8,91.5,89.6,89.8,90.198,7928500.0,715138130000.0,75000.0,6750000000.0,0.2,0.2,0.2232
FPT,2025-10-15,15:10:03,HOSE,STOCK,92.4,98.8,86.0,92.6,93.1,89.5,89.6,90.817,92.6,93.1,89.5,89.6,90.817,18738600.0,1701788580000.0,0.0,0.0,-2.8,-2.8,-3.0303
FPT,2025-10-14,15:10:03,HOSE,STOCK,94.0,100.5,87.5,94.1,94.5,92.4,92.4,92.921,94.1,94.5,92.4,92.4,92.921,12659600.0,1176345730000.0,253951.0,24125337500.0,-1.6,-1.6,-1.7021
FPT,2025-10-13,15:10:03,HOSE,STOCK,96.1,102.8,89.4,94.9,94.9,93.7,94.0,94.116,94.9,94.9,93.7,94.0,94.116,7915000.0,744928900000.0,3239145.0,307814674700.0,-2.1,-2.1,-2.1852
FPT,2025-10-10,15:10:03,HOSE,STOCK,94.2,100.7,87.7,94.2,96.5,93.8,96.1,95.751,94.2,96.5,93.8,96.1,95.751,8587700.0,822279980000.0,0.0,0.0,1.9,1.9,2.017
FPT,2025-10-09,15:10:04,HOSE,STOCK,94.5,101.1,87.9,95.0,95.0,93.5,94.2,94.101,95.0,95.0,93.5,94.2,94.101,5716300.0,537906800000.0,1403586.0,136965093280.0,-0.3,-0.3,-0.3175
FPT,2025-10-08,15:10:04,HOSE,STOCK,95.5,102.1,88.9,95.5,96.9,94.5,94.5,95.629,95.5,96.9,94.5,94.5,95.629,5132100.0,490777930000.0,1160000.0,115941850000.0,-1.0,-1.0,-1.0471
FPT,2025-10-07,15:10:03,HOSE,STOCK,95.5,102.1,88.9,96.0,96.3,95.2,95.5,95.837,96.0,96.3,95.2,95.5,95.837,5997500.0,574781260000.0,1338000.0,128997550000.0,0.0,0.0,0.0
FPT,2025-10-06,15:10:04,HOSE,STOCK,93.4,99.9,86.9,94.3,95.9,93.5,95.5,95.085,94.3,95.9,93.5,95.5,95.085,6580000.0,625656960000.0,4598000.0,430527000000.0,2.1,2.1,2.2484
FPT,2025-10-03,15:10:03,HOSE,STOCK,92.1,98.5,85.7,92.2,94.0,92.1,93.4,93.158,92.2,94.0,92.1,93.4,93.158,7681300.0,715572820000.0,0.0,0.0,1.3,1.3,1.4115
FPT,2025-10-02,15:10:03,HOSE,STOCK,93.4,99.9,86.9,92.9,93.4,92.0,92.1,92.583,92.9,93.4,92.0,92.1,92.583,7933800.0,734533130000.0,2359600.0,225514432800.0,-1.3,-1.3,-1.3919
FPT,2025-10-01,15:10:02,HOSE,STOCK,93.0,99.5,86.5,93.2,94.5,91.4,93.4,93.109,93.2,94.5,91.4,93.4,93.109,7405100.0,689477800000.0,0.0,0.0,0.4,0.4,0.4301
FPT,2025-09-30,15:09:03,HOSE,STOCK,95.5,102.1,88.9,95.5,95.8,92.8,93.0,93.648,95.5,95.8,92.8,93.0,93.648,12018800.0,1125538280000.0,1875400.0,181576917000.0,-2.5,-2.5,-2.6178
