code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
GVR,2025-11-03,15:11:02,HOSE,STOCK,29.05,31.05,27.05,29.1,29.45,28.35,28.35,29.041,29.1,29.45,28.35,28.35,29.041,5166700.0,150048290000.0,0.0,0.0,-0.7,-0.7,-2.4096
GVR,2025-10-31,15:10:02,HOSE,STOCK,28.35,30.3,26.4,28.35,29.5,28.15,29.05,29.022,28.35,29.5,28.15,29.05,29.022,7002600.0,203230735000.0,0.0,0.0,0.7,0.7,2.4691
GVR,2025-10-30,15:10:03,HOSE,STOCK,28.1,30.05,26.15,28.3,28.55,27.6,28.35,28.048,28.3,28.55,27.6,28.35,28.048,3349800.0,93954760000.0,0.0,0.0,0.25,0.25,0.8897
GVR,2025-10-29,15:10:02,HOSE,STOCK,27.55,29.45,25.65,27.75,28.6,27.45,28.1,28.179,27.75,28.6,27.45,28.1,28.179,3912600.0,110253975000.0,0.0,0.0,0.55,0.55,1.9964
GVR,2025-10-28,15:10:03,HOSE,STOCK,27.4,29.3,25.5,27.5,27.6,26.75,27.55,27.193,27.5,27.6,26.75,27.55,27.193,1413900.0,38448485000.0,0.0,0.0,0.15,0.15,0.5474
GVR,2025-10-27,15:10:01,HOSE,STOCK,26.55,28.4,24.7,27.1,28.15,27.1,27.4,27.59,27.1,28.15,27.1,27.4,27.59,3939900.0,108700695000.0,0.0,0.0,0.85,0.85,3.2015
GVR,2025-10-24,15:10:03,HOSE,STOCK,26.1,27.9,24.3,26.2,27.0,26.0,26.55,26.432,26.2,27.0,26.0,26.55,26.432,1636800.0,43263610000.0,0.0,0.0,0.45,0.45,1.7241
GVR,2025-10-23,15:10:01,HOSE,STOCK,26.5,28.35,24.65,26.7,26.75,26.1,26.1,26.406,26.7,26.75,26.1,26.1,26.406,872300.0,23034335000.0,0.0,0.0,-0.4,-0.4,-1.5094
GVR,2025-10-22,15:10:02,HOSE,STOCK,25.4,27.15,23.65,25.7,26.5,25.55,26.5,25.893,25.7,26.5,25.55,26.5,25.893,2127900.0,55096745000.0,0.0,0.0,1.1,1.1,4.3307
GVR,2025-10-21,15:10:02,HOSE,STOCK,25.25,27.0,23.5,25.0,25.9,24.5,25.4,25.291,25.0,25.9,24.5,25.4,25.291,3055400.0,77274530000.0,0.0,0.0,0.15,0.15,0.5941
GVR,2025-10-20,15:10:02,HOSE,STOCK,27.1,28.95,25.25,27.0,27.3,25.25,25.25,26.284,27.0,27.3,25.25,25.25,26.284,3351500.0,88089945000.0,0.0,0.0,-1.85,-1.85,-6.8266
GVR,2025-10-17,15:10:02,HOSE,STOCK,27.2,29.1,25.3,27.4,27.65,27.1,27.1,27.38,27.4,27.65,27.1,27.1,27.38,2038900.0,55824405000.0,0.0,0.0,-0.1,-0.1,-0.3676
GVR,2025-10-16,15:10:01,HOSE,STOCK,27.45,29.35,25.55,27.6,27.7,27.1,27.2,27.321,27.6,27.7,27.1,27.2,27.321,3624800.0,99031425000.0,0.0,0.0,-0.25,-0.25,-0.9107
GVR,2025-10-15,15:10:01,HOSE,STOCK,27.85,29.75,25.95,27.85,28.05,27.25,27.45,27.598,27.85,28.05,27.25,27.45,27.598,2559800.0,70646375000.0,0.0,0.0,-0.4,-0.4,-1.4363
GVR,2025-10-14,15:10:02,HOSE,STOCK,28.5,30.45,26.55,28.75,28.75,27.8,27.85,28.117,28.75,28.75,27.8,27.85,28.117,2466800.0,69359760000.0,0.0,0.0,-0.65,-0.65,-2.2807
GVR,2025-10-13,15:10:01,HOSE,STOCK,28.05,30.0,26.1,27.9,28.95,27.85,28.5,28.339,27.9,28.95,27.85,28.5,28.339,3580700.0,101473150000.0,0.0,0.0,0.45,0.45,1.6043
GVR,2025-10-10,15:10:02,HOSE,STOCK,28.0,29.95,26.05,28.45,28.5,28.0,28.05,28.147,28.45,28.5,28.0,28.05,28.147,2163700.0,60901040000.0,0.0,0.0,0.05,0.05,0.1786
GVR,2025-10-09,15:10:02,HOSE,STOCK,27.45,29.35,25.55,27.5,28.55,27.15,28.0,27.844,27.5,28.55,27.15,28.0,27.844,3675400.0,102336490000.0,0.0,0.0,0.55,0.55,2.0036
GVR,2025-10-08,15:10:03,HOSE,STOCK,27.35,29.25,25.45,27.7,27.85,27.3,27.45,27.555,27.7,27.85,27.3,27.45,27.555,1029600.0,28370600000.0,0.0,0.0,0.1,0.1,0.3656
GVR,2025-10-07,15:10:02,HOSE,STOCK,27.55,29.45,25.65,27.65,27.9,27.3,27.35,27.607,27.65,27.9,27.3,27.35,27.607,989500.0,27316640000.0,0.0,0.0,-0.2,-0.2,-0.726
GVR,2025-10-06,15:10:03,HOSE,STOCK,26.7,28.55,24.85,27.3,27.55,26.9,27.55,27.274,27.3,27.55,26.9,27.55,27.274,2309200.0,62981560000.0,50000.0,1400000000.0,0.85,0.85,3.1835
GVR,2025-10-03,15:10:02,HOSE,STOCK,27.3,29.2,25.4,27.5,27.5,26.65,26.7,26.864,27.5,27.5,26.65,26.7,26.864,2383700.0,64035895000.0,0.0,0.0,-0.6,-0.6,-2.1978
GVR,2025-10-02,15:10:02,HOSE,STOCK,27.85,29.75,25.95,27.9,28.05,27.15,27.3,27.516,27.9,28.05,27.15,27.3,27.516,1751100.0,48182915000.0,50000.0,1400000000.0,-0.55,-0.55,-1.9749
GVR,2025-10-01,15:10:01,HOSE,STOCK,27.7,29.6,25.8,27.75,28.0,27.75,27.85,27.895,27.75,28.0,27.75,27.85,27.895,690600.0,19263945000.0,0.0,0.0,0.15,0.15,0.5415
GVR,2025-09-30,15:09:02,HOSE,STOCK,28.25,30.2,26.3,28.25,28.3,27.45,27.7,27.748,28.25,28.3,27.45,27.7,27.748,2051500.0,56925250000.0,0.0,0.0,-0.55,-0.55,-1.9469
GVR,2025-09-29,15:09:02,HOSE,STOCK,28.5,30.45,26.55,28.6,28.7,28.25,28.25,28.379,28.6,28.7,28.25,28.25,28.379,827200.0,23474940000.0,0.0,0.0,-0.25,-0.25,-0.8772
GVR,2025-09-26,15:09:02,HOSE,STOCK,28.8,30.8,26.8,28.95,29.0,28.5,28.5,28.753,28.95,29.0,28.5,28.5,28.753,1301000.0,37407895000.0,0.0,0.0,-0.3,-0.3,-1.0417
GVR,2025-09-25,15:09:02,HOSE,STOCK,28.6,30.6,26.6,28.8,29.0,28.6,28.8,28.772,28.8,29.0,28.6,28.8,28.772,1186300.0,34131840000.0,0.0,0.0,0.2,0.2,0.6993
GVR,2025-09-24,15:09:02,HOSE,STOCK,28.1,30.05,26.15,28.15,28.6,28.0,28.6,28.323,28.15,28.6,28.0,28.6,28.323,1004700.0,28456370000.0,0.0,0.0,0.5,0.5,1.7794
GVR,2025-09-23,15:09:02,HOSE,STOCK,28.3,30.25,26.35,28.7,28.7,28.1,28.1,28.342,28.7,28.7,28.1,28.1,28.342,841800.0,23858440000.0,0.0,0.0,-0.2,-0.2,-0.7067
GVR,2025-09-22,15:09:02,HOSE,STOCK,28.6,30.6,26.6,28.7,28.85,28.25,28.3,28.478,28.7,28.85,28.25,28.3,28.478,1376400.0,39196570000.0,0.0,0.0,-0.3,-0.3,-1.049
GVR,2025-09-19,15:09:02,HOSE,STOCK,28.8,30.8,26.8,29.1,29.1,28.6,28.6,28.764,29.1,29.1,28.6,28.6,28.764,1522700.0,43798645000.0,0.0,0.0,-0.2,-0.2,-0.6944
GVR,2025-09-18,15:09:01,HOSE,STOCK,28.9,30.9,26.9,29.0,29.0,28.6,28.8,28.797,29.0,29.0,28.6,28.8,28.797,1614500.0,46492085000.0,0.0,0.0,-0.1,-0.1,-0.346
GVR,2025-09-17,15:09:02,HOSE,STOCK,29.45,31.5,27.4,29.5,29.6,28.9,28.9,29.214,29.5,29.6,28.9,28.9,29.214,2606000.0,76131715000.0,0.0,0.0,-0.55,-0.55,-1.8676
GVR,2025-09-16,15:09:02,HOSE,STOCK,29.85,31.9,27.8,30.15,30.15,29.45,29.45,29.669,30.15,30.15,29.45,29.45,29.669,2089300.0,61988095000.0,0.0,0.0,-0.4,-0.4,-1.34
GVR,2025-09-15,15:09:02,HOSE,STOCK,29.35,31.4,27.3,29.5,30.0,29.35,29.85,29.648,29.5,30.0,29.35,29.85,29.648,2734300.0,81065945000.0,0.0,0.0,0.5,0.5,1.7036
GVR,2025-09-12,15:09:01,HOSE,STOCK,28.75,30.75,26.75,28.9,29.7,28.8,29.35,29.289,28.9,29.7,28.8,29.35,29.289,2261000.0,66222580000.0,0.0,0.0,0.6,0.6,2.087
GVR,2025-09-11,15:09:02,HOSE,STOCK,28.3,30.25,26.35,28.6,28.8,28.0,28.75,28.279,28.6,28.8,28.0,28.75,28.279,2590300.0,73251660000.0,60000.0,1698000000.0,0.45,0.45,1.5901
GVR,2025-09-10,15:09:02,HOSE,STOCK,28.6,30.6,26.6,28.9,28.9,28.25,28.3,28.431,28.9,28.9,28.25,28.3,28.431,2812000.0,79947970000.0,29000.0,835200000.0,-0.3,-0.3,-1.049
GVR,2025-09-09,15:09:02,HOSE,STOCK,28.8,30.8,26.8,28.8,29.0,28.4,28.6,28.669,28.8,29.0,28.4,28.6,28.669,2423500.0,69478305000.0,0.0,0.0,-0.2,-0.2,-0.6944
GVR,2025-09-08,15:09:02,HOSE,STOCK,29.8,31.85,27.75,30.3,30.3,28.8,28.8,29.388,30.3,30.3,28.8,28.8,29.388,4599400.0,135165345000.0,60000.0,1794000000.0,-1.0,-1.0,-3.3557
GVR,2025-09-05,15:09:01,HOSE,STOCK,29.5,31.55,27.45,29.8,30.8,29.7,29.8,30.256,29.8,30.8,29.7,29.8,30.256,7745200.0,234340870000.0,0.0,0.0,0.3,0.3,1.0169
GVR,2025-09-04,15:09:02,HOSE,STOCK,29.3,31.35,27.25,29.5,29.7,29.3,29.5,29.461,29.5,29.7,29.3,29.5,29.461,3336000.0,98282300000.0,0.0,0.0,0.2,0.2,0.6826
GVR,2025-09-03,15:09:02,HOSE,STOCK,29.05,31.05,27.05,29.05,29.7,29.0,29.3,29.348,29.05,29.7,29.0,29.3,29.348,2775000.0,81440360000.0,0.0,0.0,0.25,0.25,0.8606
GVR,2025-08-29,15:08:02,HOSE,STOCK,29.2,31.2,27.2,29.25,29.35,29.0,29.05,29.099,29.25,29.35,29.0,29.05,29.099,3348000.0,97423230000.0,0.0,0.0,-0.15,-0.15,-0.5137
GVR,2025-08-28,15:08:02,HOSE,STOCK,29.15,31.15,27.15,29.45,29.45,29.05,29.2,29.199,29.45,29.45,29.05,29.2,29.199,2640700.0,77106160000.0,0.0,0.0,0.05,0.05,0.1715
GVR,2025-08-27,15:08:02,HOSE,STOCK,29.2,31.2,27.2,29.4,29.6,29.0,29.15,29.276,29.4,29.6,29.0,29.15,29.276,2712000.0,79395335000.0,0.0,0.0,-0.05,-0.05,-0.1712
GVR,2025-08-26,15:08:02,HOSE,STOCK,28.4,30.35,26.45,28.5,29.25,28.25,29.2,28.516,28.5,29.25,28.25,29.2,28.516,3730100.0,106368745000.0,0.0,0.0,0.8,0.8,2.8169
