code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
POW,2025-11-03,15:11:03,HOSE,STOCK,14.35,15.35,13.35,14.45,14.6,14.25,14.25,14.395,14.45,14.6,14.25,14.25,14.395,5334200.0,76783770000.0,0.0,0.0,-0.1,-0.1,-0.6969
POW,2025-10-31,15:10:03,HOSE,STOCK,14.2,15.15,13.25,14.35,14.65,14.35,14.35,14.483,14.35,14.65,14.35,14.35,14.483,10117100.0,146529605000.0,0.0,0.0,0.15,0.15,1.0563
POW,2025-10-30,15:10:05,HOSE,STOCK,14.3,15.3,13.3,14.35,14.35,14.0,14.2,14.185,14.35,14.35,14.0,14.2,14.185,4839800.0,68654115000.0,0.0,0.0,-0.1,-0.1,-0.6993
POW,2025-10-29,15:10:03,HOSE,STOCK,13.85,14.8,12.9,13.9,14.4,13.8,14.3,14.212,13.9,14.4,13.8,14.3,14.212,11214600.0,159377590000.0,0.0,0.0,0.45,0.45,3.2491
POW,2025-10-28,15:10:05,HOSE,STOCK,13.85,14.8,12.9,13.9,13.9,13.5,13.85,13.698,13.9,13.9,13.5,13.85,13.698,4519700.0,61909025000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-10-27,15:10:02,HOSE,STOCK,13.4,14.3,12.5,13.45,13.85,13.45,13.85,13.676,13.45,13.85,13.45,13.85,13.676,8312700.0,113681650000.0,0.0,0.0,0.45,0.45,3.3582
POW,2025-10-24,15:10:04,HOSE,STOCK,13.55,14.45,12.65,13.55,13.6,13.15,13.4,13.365,13.55,13.6,13.15,13.4,13.365,6220200.0,83131715000.0,200000.0,2746000000.0,-0.15,-0.15,-1.107
POW,2025-10-23,15:10:02,HOSE,STOCK,13.55,14.45,12.65,13.6,13.65,13.45,13.55,13.54,13.6,13.65,13.45,13.55,13.54,3036300.0,41111655000.0,35000.0,474250000.0,0.0,0.0,0.0
POW,2025-10-22,15:10:03,HOSE,STOCK,13.35,14.25,12.45,13.5,13.65,13.35,13.55,13.472,13.5,13.65,13.35,13.55,13.472,5135900.0,69189965000.0,0.0,0.0,0.2,0.2,1.4981
POW,2025-10-21,15:10:03,HOSE,STOCK,13.2,14.1,12.3,13.15,13.4,12.9,13.35,13.174,13.15,13.4,12.9,13.35,13.174,10150100.0,133721445000.0,0.0,0.0,0.15,0.15,1.1364
POW,2025-10-20,15:10:03,HOSE,STOCK,14.15,15.1,13.2,14.15,14.25,13.2,13.2,13.571,14.15,14.25,13.2,13.2,13.571,14891800.0,202090335000.0,5675000.0,81512500000.0,-0.95,-0.95,-6.7138
POW,2025-10-17,15:10:03,HOSE,STOCK,14.35,15.35,13.35,14.4,14.5,14.15,14.15,14.316,14.4,14.5,14.15,14.15,14.316,7242900.0,103689445000.0,1750000.0,25025000000.0,-0.2,-0.2,-1.3937
POW,2025-10-16,15:10:02,HOSE,STOCK,14.3,15.3,13.3,14.3,14.45,14.25,14.35,14.322,14.3,14.45,14.25,14.35,14.322,6417600.0,91912595000.0,5675000.0,81512500000.0,0.05,0.05,0.3497
POW,2025-10-15,15:10:03,HOSE,STOCK,14.35,15.35,13.35,14.5,14.55,14.25,14.3,14.355,14.5,14.55,14.25,14.3,14.355,6032300.0,86590845000.0,1750000.0,25025000000.0,-0.05,-0.05,-0.3484
POW,2025-10-14,15:10:03,HOSE,STOCK,14.35,15.35,13.35,14.45,14.65,14.3,14.35,14.451,14.45,14.65,14.3,14.35,14.451,7384000.0,106703610000.0,2075000.0,29672500000.0,0.0,0.0,0.0
POW,2025-10-13,15:10:02,HOSE,STOCK,14.6,15.6,13.6,14.4,14.45,14.2,14.35,14.353,14.4,14.45,14.2,14.35,14.353,6032900.0,86590940000.0,0.0,0.0,-0.25,-0.25,-1.7123
POW,2025-10-10,15:10:03,HOSE,STOCK,14.6,15.6,13.6,14.7,14.7,14.55,14.6,14.606,14.7,14.7,14.55,14.6,14.606,5419000.0,79148625000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-10-09,15:10:04,HOSE,STOCK,14.35,15.35,13.35,14.4,14.6,14.2,14.6,14.408,14.4,14.6,14.2,14.6,14.408,6528500.0,94062555000.0,0.0,0.0,0.25,0.25,1.7422
POW,2025-10-08,15:10:04,HOSE,STOCK,14.3,15.3,13.3,14.5,14.55,14.25,14.35,14.369,14.5,14.55,14.25,14.35,14.369,5082900.0,73036550000.0,833000.0,12003530000.0,0.05,0.05,0.3497
POW,2025-10-07,15:10:03,HOSE,STOCK,14.45,15.45,13.45,14.65,14.65,14.3,14.3,14.471,14.65,14.65,14.3,14.3,14.471,5732300.0,82949400000.0,4455000.0,65316000000.0,-0.15,-0.15,-1.0381
POW,2025-10-06,15:10:04,HOSE,STOCK,14.05,15.0,13.1,14.1,14.45,14.1,14.45,14.319,14.1,14.45,14.1,14.45,14.319,5924100.0,84827820000.0,3263000.0,47313500000.0,0.4,0.4,2.847
POW,2025-10-03,15:10:03,HOSE,STOCK,14.2,15.15,13.25,14.25,14.25,13.95,14.05,14.073,14.25,14.25,13.95,14.05,14.073,7181300.0,101059585000.0,4455000.0,65316000000.0,-0.15,-0.15,-1.0563
POW,2025-10-02,15:10:03,HOSE,STOCK,14.4,15.4,13.4,14.45,14.55,14.2,14.2,14.376,14.45,14.55,14.2,14.2,14.376,4621000.0,66430655000.0,2430000.0,35235000000.0,-0.2,-0.2,-1.3889
