code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
SSI,2025-11-03,15:11:02,HOSE,STOCK,34.3,36.7,31.9,34.3,34.55,32.5,32.5,33.417,34.3,34.55,32.5,32.5,33.417,50015100.0,1671338090000.0,90040.0,3015076000.0,-1.8,-1.8,-5.2478
SSI,2025-10-31,15:10:02,HOSE,STOCK,34.85,37.25,32.45,34.75,35.25,34.3,34.3,34.653,34.75,35.25,34.3,34.3,34.653,26772900.0,927756830000.0,3543404.0,115304129800.0,-0.55,-0.55,-1.5782
SSI,2025-10-30,15:10:03,HOSE,STOCK,35.6,38.05,33.15,35.65,35.85,34.8,34.85,35.144,35.65,35.85,34.8,34.85,35.144,28037300.0,985340375000.0,60001.0,2148033150.0,-0.75,-0.75,-2.1067
SSI,2025-10-29,15:10:02,HOSE,STOCK,35.85,38.35,33.35,35.95,36.2,35.6,35.6,35.913,35.95,36.2,35.6,35.6,35.913,22897000.0,822309015000.0,120017.0,4081066950.0,-0.25,-0.25,-0.6974
SSI,2025-10-28,15:10:03,HOSE,STOCK,34.8,37.2,32.4,34.7,36.0,34.7,35.85,35.18,34.7,36.0,34.7,35.85,35.18,34464100.0,1212450690000.0,550001.0,18600032400.0,1.05,1.05,3.0172
SSI,2025-10-27,15:10:01,HOSE,STOCK,36.0,38.5,33.5,36.4,36.55,34.55,34.8,35.26,36.4,36.55,34.55,34.8,35.26,71137600.0,2508286260000.0,400000.0,13420000000.0,-1.2,-1.2,-3.3333
SSI,2025-10-24,15:10:03,HOSE,STOCK,37.5,40.1,34.9,37.2,37.4,35.7,36.0,36.239,37.2,37.4,35.7,36.0,36.239,82075200.0,2974302000000.0,0.0,0.0,-1.5,-1.5,-4.0
SSI,2025-10-23,15:10:01,HOSE,STOCK,38.45,41.1,35.8,38.5,38.65,37.5,37.5,37.953,38.5,38.65,37.5,37.5,37.953,24279700.0,921486385000.0,71402.0,2709611600.0,-0.95,-0.95,-2.4707
SSI,2025-10-22,15:10:02,HOSE,STOCK,38.6,41.3,35.9,38.8,38.8,37.2,38.45,37.966,38.8,38.8,37.2,38.45,37.966,32795900.0,1245133515000.0,450001.0,18038035900.0,-0.15,-0.15,-0.3886
SSI,2025-10-21,15:10:02,HOSE,STOCK,37.95,40.6,35.3,37.95,39.5,36.95,38.6,38.164,37.95,39.5,36.95,38.6,38.164,81186900.0,3098417945000.0,2076004.0,79018085200.0,0.65,0.65,1.7128
SSI,2025-10-20,15:10:02,HOSE,STOCK,40.8,43.65,37.95,40.75,41.8,37.95,37.95,39.358,40.75,41.8,37.95,37.95,39.358,70585900.0,2778105265000.0,201003.0,8341613850.0,-2.85,-2.85,-6.9853
SSI,2025-10-17,15:10:02,HOSE,STOCK,41.35,44.2,38.5,41.5,41.95,40.7,40.8,41.321,41.5,41.95,40.7,40.8,41.321,38969300.0,1610241805000.0,50001.0,1969788500.0,-0.55,-0.55,-1.3301
SSI,2025-10-16,15:10:01,HOSE,STOCK,41.45,44.35,38.55,41.7,42.25,41.15,41.35,41.6,41.7,42.25,41.15,41.35,41.6,29760800.0,1238062025000.0,1071004.0,44320654200.0,-0.1,-0.1,-0.2413
SSI,2025-10-15,15:10:01,HOSE,STOCK,41.0,43.85,38.15,41.1,41.75,40.85,41.45,41.244,41.1,41.75,40.85,41.45,41.244,30114300.0,1242021455000.0,120004.0,4966158300.0,0.45,0.45,1.0976
SSI,2025-10-14,15:10:02,HOSE,STOCK,41.35,44.2,38.5,42.35,43.3,41.0,41.0,42.251,42.35,43.3,41.0,41.0,42.251,65269200.0,2757713485000.0,4950005.0,203467692500.0,-0.35,-0.35,-0.8464
SSI,2025-10-13,15:10:01,HOSE,STOCK,40.7,43.5,37.9,40.15,41.7,40.0,41.35,40.863,40.15,41.7,40.0,41.35,40.863,42263800.0,1727012345000.0,100001.0,4070037900.0,0.65,0.65,1.5971
SSI,2025-10-10,15:10:02,HOSE,STOCK,40.65,43.45,37.85,40.9,41.5,40.6,40.7,40.981,40.9,41.5,40.6,40.7,40.981,29024800.0,1189464730000.0,1630300.0,62939195000.0,0.05,0.05,0.123
SSI,2025-10-09,15:10:02,HOSE,STOCK,41.2,44.05,38.35,41.25,41.3,40.55,40.65,40.801,41.25,41.3,40.55,40.65,40.801,33451500.0,1364859155000.0,80000.0,3104000000.0,-0.55,-0.55,-1.335
SSI,2025-10-08,15:10:03,HOSE,STOCK,40.8,43.65,37.95,41.75,42.5,40.55,41.2,41.439,41.75,42.5,40.55,41.2,41.439,53747600.0,2227256430000.0,60000.0,2448000000.0,0.4,0.4,0.9804
SSI,2025-10-07,15:10:02,HOSE,STOCK,40.25,43.05,37.45,41.0,41.35,40.55,40.8,40.941,41.0,41.35,40.55,40.8,40.941,40540800.0,1659781570000.0,4350000.0,180325000000.0,0.55,0.55,1.3665
SSI,2025-10-06,15:10:03,HOSE,STOCK,37.65,40.25,35.05,38.5,40.25,38.45,40.25,39.765,38.5,40.25,38.45,40.25,39.765,53500100.0,2127432275000.0,280002.0,10725070100.0,2.6,2.6,6.9057
SSI,2025-10-03,15:10:02,HOSE,STOCK,37.85,40.45,35.25,37.75,38.2,37.2,37.65,37.703,37.75,38.2,37.2,37.65,37.703,25057700.0,944748195000.0,120000.0,4354800000.0,-0.2,-0.2,-0.5284
SSI,2025-10-02,15:10:02,HOSE,STOCK,38.6,41.3,35.9,38.65,38.95,37.7,37.85,38.324,38.65,38.95,37.7,37.85,38.324,21157600.0,810833870000.0,210000.0,8190000000.0,-0.75,-0.75,-1.943
SSI,2025-10-01,15:10:01,HOSE,STOCK,38.55,41.2,35.9,38.85,39.2,38.45,38.6,38.691,38.85,39.2,38.45,38.6,38.691,16967100.0,656477455000.0,2000004.0,74000143600.0,0.05,0.05,0.1297
SSI,2025-09-30,15:09:02,HOSE,STOCK,37.55,40.15,34.95,37.6,38.8,37.3,38.55,38.025,37.6,38.8,37.3,38.55,38.025,38227200.0,1453573690000.0,191801.0,7412986950.0,1.0,1.0,2.6631
SSI,2025-09-29,15:09:02,HOSE,STOCK,38.0,40.65,35.35,38.05,38.2,37.2,37.55,37.582,38.05,38.2,37.2,37.55,37.582,34409300.0,1293173275000.0,100000.0,3596000000.0,-0.45,-0.45,-1.1842
SSI,2025-09-26,15:09:02,HOSE,STOCK,39.0,41.7,36.3,38.9,38.95,38.0,38.0,38.366,38.9,38.95,38.0,38.0,38.366,38838600.0,1490101120000.0,2035000.0,83072250000.0,-1.0,-1.0,-2.5641
SSI,2025-09-25,15:09:02,HOSE,STOCK,39.25,41.95,36.55,39.5,39.65,39.0,39.0,39.232,39.5,39.65,39.0,39.0,39.232,25997200.0,1019919475000.0,1334000.0,52279700000.0,-0.25,-0.25,-0.6369
SSI,2025-09-24,15:09:02,HOSE,STOCK,39.4,42.15,36.65,39.5,40.25,38.55,40.25,39.277,38.52,39.252,37.594,39.252,38.303,36376800.0,1428761520000.0,120353.0,4444400010.0,0.85,0.8289,2.1574
SSI,2025-09-23,15:09:02,HOSE,STOCK,39.3,42.05,36.55,39.4,40.1,39.4,39.4,39.709,38.423,39.106,38.423,38.423,38.724,21429500.0,850936280000.0,0.0,0.0,0.1,0.0975,0.2545
SSI,2025-09-22,15:09:02,HOSE,STOCK,40.35,43.15,37.55,40.5,40.75,39.2,39.3,39.79,39.496,39.739,38.228,38.325,38.803,43538600.0,1732401745000.0,0.0,0.0,-1.05,-1.024,-2.6022
SSI,2025-09-19,15:09:02,HOSE,STOCK,40.8,43.65,37.95,41.0,41.25,40.35,40.35,40.724,39.983,40.227,39.349,39.349,39.714,27872000.0,1135061850000.0,0.0,0.0,-0.45,-0.4388,-1.1029
SSI,2025-09-18,15:09:01,HOSE,STOCK,40.6,43.4,37.8,40.85,41.4,40.3,40.8,40.789,39.837,40.373,39.301,39.788,39.777,26356200.0,1075051060000.0,0.0,0.0,0.2,0.195,0.4926
