code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VIC,2025-11-03,15:11:03,HOSE,STOCK,191.0,204.3,177.7,191.1,199.5,186.0,195.4,194.286,191.1,199.5,186.0,195.4,194.286,3627000.0,704674840000.0,1000000.0,191000000000.0,4.4,4.4,2.3037
VIC,2025-10-31,15:10:03,HOSE,STOCK,204.1,218.3,189.9,202.0,203.7,191.0,191.0,194.245,202.0,203.7,191.0,191.0,194.245,7461600.0,1449375400000.0,20000.0,4242000000.0,-13.1,-13.1,-6.4184
VIC,2025-10-30,15:10:05,HOSE,STOCK,212.0,226.8,197.2,210.5,211.8,201.5,204.1,204.637,210.5,211.8,201.5,204.1,204.637,3772500.0,771993600000.0,120000.0,24836300000.0,-7.9,-7.9,-3.7264
VIC,2025-10-29,15:10:03,HOSE,STOCK,220.1,235.5,204.7,219.0,219.0,211.9,212.0,214.099,219.0,219.0,211.9,212.0,214.099,2739200.0,586460520000.0,100000.0,21394400000.0,-8.1,-8.1,-3.6801
VIC,2025-10-28,15:10:05,HOSE,STOCK,214.0,228.9,199.1,213.5,220.6,199.1,220.1,207.716,213.5,220.6,199.1,220.1,207.716,5205500.0,1081267560000.0,100000.0,20760900000.0,6.1,6.1,2.8505
VIC,2025-10-27,15:10:02,HOSE,STOCK,219.0,234.3,203.7,222.9,226.5,214.0,214.0,220.023,222.9,226.5,214.0,214.0,220.023,3889100.0,855690890000.0,5400000.0,1110625200000.0,-5.0,-5.0,-2.2831
VIC,2025-10-24,15:10:03,HOSE,STOCK,215.0,230.0,200.0,215.4,222.9,215.1,219.0,219.052,215.4,222.9,215.1,219.0,219.052,3412900.0,747603490000.0,400000.0,87594100000.0,4.0,4.0,1.8605
VIC,2025-10-23,15:10:02,HOSE,STOCK,203.0,217.2,188.8,202.9,215.5,200.0,215.0,208.773,202.9,215.5,200.0,215.0,208.773,4761200.0,994008330000.0,0.0,0.0,12.0,12.0,5.9113
VIC,2025-10-22,15:10:02,HOSE,STOCK,203.4,217.6,189.2,204.0,204.0,193.0,203.0,198.8,204.0,204.0,193.0,203.0,198.8,4196300.0,834223350000.0,12784000.0,2429666678000.0,-0.4,-0.4,-0.1967
VIC,2025-10-21,15:10:03,HOSE,STOCK,194.9,208.5,181.3,202.0,204.9,193.7,203.4,199.763,202.0,204.9,193.7,203.4,199.763,3700400.0,739202170000.0,299000.0,59797309000.0,8.5,8.5,4.3612
VIC,2025-10-20,15:10:03,HOSE,STOCK,204.0,218.2,189.8,200.0,204.5,190.0,194.9,198.338,200.0,204.5,190.0,194.9,198.338,5671000.0,1124774190000.0,0.0,0.0,-9.1,-9.1,-4.4608
VIC,2025-10-17,15:10:03,HOSE,STOCK,213.1,228.0,198.2,214.1,214.6,199.9,204.0,205.791,214.1,214.6,199.9,204.0,205.791,5615100.0,1155539040000.0,29000.0,5924845000.0,-9.1,-9.1,-4.2703
VIC,2025-10-16,15:10:02,HOSE,STOCK,209.5,224.1,194.9,210.0,217.6,205.9,213.1,210.509,210.0,217.6,205.9,213.1,210.509,5217400.0,1098309160000.0,0.0,0.0,3.6,3.6,1.7184
VIC,2025-10-15,15:10:02,HOSE,STOCK,211.9,226.7,197.1,214.1,214.9,206.0,209.5,209.871,214.1,214.9,206.0,209.5,209.871,3752400.0,787520330000.0,57200.0,12004621200.0,-2.4,-2.4,-1.1326
VIC,2025-10-14,15:10:03,HOSE,STOCK,205.4,219.7,191.1,215.9,219.7,206.9,211.9,215.797,215.9,219.7,206.9,211.9,215.797,8065500.0,1740507760000.0,6205000.0,1200389585000.0,6.5,6.5,3.1646
VIC,2025-10-13,15:10:02,HOSE,STOCK,192.0,205.4,178.6,193.9,205.4,193.9,205.4,202.652,193.9,205.4,193.9,205.4,202.652,7178300.0,1454693610000.0,16811000.0,3028633890000.0,13.4,13.4,6.9792
VIC,2025-10-10,15:10:03,HOSE,STOCK,179.5,192.0,167.0,178.5,192.0,178.5,192.0,184.963,178.5,192.0,178.5,192.0,184.963,4294700.0,794362440000.0,0.0,0.0,12.5,12.5,6.9638
